Word,Count
/,73
<summary>,22
</summary>,22
ресурса,11
для,10
типа,10
System.Drawing.Bitmap,9
Поиск,9
локализованного,9
конструктора,6
и,4
или,4
в,4
кода,4
номер,4
со,4
с,4
все,4
если,4
------------------------------------------------------------------------------,4
изменяйте,3
поддержки,3
Обязательный,3
управляемый,3
\name="\disposing"\>истинно,\,3
ложно.</param>,3
переменная,3
метода,3
должен,3
данного,3
содержимое,3
используемые,3
Требуется,3
удален;,3
быть,3
иначе,3
<param,3
к,3
-,3
ресурс,3
Освободить,3
помощи,3
помощью,3
метод,3
сборке,3
редактора,3
не,3
версии,3
ресурсы,3
при,3
ResGen,2
о,2
menuStrip1,2
построения,2
значения,2
Этот,2
code,2
проект,2
строгой,2
как,2
<auto-generated>,2
этого,2
классом,2
ComVisible,2
</auto-generated>,2
оПрограммеToolStripMenuItem,2
создан,2
типизацией,2
входа,1
использованный,1
значений:,1
сборки,1
общими,1
Перезаписывает,1
параметром,1
файле,1
Finish,1
сборкой,1
behavior,1
Параметр,1
точка,1
Cancel_Button,1
regenerated,1
\сведения,\,1
Сведения,1
невидимыми,1
incorrect,1
Main_Window,1
StronglyTypedResourceBuilder,1
\атрибутов,\,1
\COM,\,1
принять,1
атрибуту,1
чтобы,1
из,1
видимым,1
CurrentUICulture,1
делает,1
будут,1
WorkPlace,1
be,1
tool,1
следующих,1
Orange,1
привести,1
потеряны,1
Brush_Button,1
\ResourceManager,\,1
через,1
задайте,1
поиска,1
DarkBrown,1
Version:4.0.30319.42000,1
экземпляр,1
набора,1
\AssemblyVersion("\1.0.*"\)]\,1
Eraser_Button,1
обращений,1
этой,1
VS,1
Blue,1
класс,1
этих,1
т.д,1
снова,1
изменить,1
код,1
состоят,1
Основной,1
повторной,1
идентификации,1
LightGreen,1
ChoicePictLabel,1
Редакция,1
генерации,1
работе,1
Changes,1
по,1
AboutBox,1
Control,1
текущего,1
Исполняемая,1
\умолчанию,\,1
строк,1
Pallete,1
такого,1
DarkGreen,1
Lion,1
свой,1
may,1
ресурсу,1
обратиться,1
Yello,1
GeneralInfo,1
сведениями,1
этот,1
Номер,1
свойство,1
Picture,1
the,1
Можно,1
Red,1
ниже:,1
COM-компонентов,1
Cat,1
значение,1
локализованных,1
требуется,1
Возвращает,1
Choosen_Color,1
автоматически,1
программой,1
этом,1
TextControl,1
\средства,\,1
TRUE,1
\член,\,1
редакции,1
будет,1
перестройте,1
библиотеки,1
показано,1
will,1
and,1
myStream;,1
\"\*"\,\,1
Runtime,1
значением,1
потока,1
Gray,1
generated,1
Управление,1
запустите,1
всех,1
Измените,1
могут,1
приложения,1
типу,1
используя,1
Jerry,1
этим,1
задать,1
добавить,1
служит,1
if,1
кэшированный,1
Visual,1
by,1
\типов,\,1
случае,1
Класс,1
Pink,1
Изменения,1
COM,1
Чтобы,1
to,1
файл,1
About,1
Save,1
lost,1
удалить,1
класса,1
четырех,1
осуществляется,1
SaveFile,1
MidleBrown,1
TextGeneral,1
GUID,1
Следующий,1
LightBrown,1
Главная,1
file,1
типы,1
a,1
неправильной,1
.ResX,1
Stream,1
версия:4.0.30319.42000,1
cause,1
Дополнительный,1
Indigo,1
was,1
связанные,1
FALSE,1
this,1
Если,1
This,1
is,1
Studio,1
атрибутов,1
[assembly:,1
/str,1
измените,1
