File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Лабы\Проги(КОД)\Kursach\Kursach\About.cs,20,18,12,0,2,0,0,0,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\About.Designer.cs,122,87,73,1,6,0,29,55,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\MainMenu.cs,50,44,30,0,6,0,0,0,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\MainMenu.Designer.cs,144,104,92,1,8,0,32,56,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\Paint.cs,63,57,36,3,6,0,0,0,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\Program.cs,22,17,10,0,2,0,3,10,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\Tool.cs,33,31,19,1,2,0,0,0,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\WorkPlace.cs,197,191,104,18,5,0,1,2,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\WorkPlace.Designer.cs,375,286,274,1,6,0,83,73,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,102,0,0
D:\Лабы\Проги(КОД)\Kursach\Kursach\Properties\Resources.Designer.cs,154,87,53,12,18,1,49,204,0,1
D:\Лабы\Проги(КОД)\Kursach\Kursach\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
